Me: 	What's wrong with you!?
Eve:	I would have it no other way. So, which girl do you want to have a session with first?
    Eve:	I would have it no other way. So, which girl do you want to have a session with first?
                Me: 	(I suppose I should just rip the bandaid right off.)
                Me: 	I'll start with Belle.
                Belle:	Ooh, I got picked! Lucky me!
                Narr:	Belle presses her pinky finger against her lips, looking at you like a fox sizing up its prey.
                Narr:	She crosses her legs sensually.
                Me: 	(This session might be harder than I initially thought.)
                Narr:	No pun intended...
                Me: 	Now, as for the location of the session, it will be–
                Narr:	Belle is quick to interrupt you, never one to mince words.
                Belle:	You can have me wherever you want.
                Narr:	At that comment, while you squirm, Eve lets out a weary sigh.
                Me: 	(Damn that Belle, she always knows how to get me going.)
                Me: 	(Almost as if she makes money out of it.)
                Me: 	I think the best possible approach is to have the session somewhere where you feel comfortable, at home even.
                Narr:	Eve observes you intently, as a mentor eagerly awaiting to see how you are going to handle this situation.
                Me: 	Belle, you mentioned you enjoy gaming?
                Belle:	Duh, I thought you were already familiar with my vocation.
                Me: 	Yes, but I remember you mentioning that you have a speedrunning channel.
                Belle:	Oh...
                Narr:	Belle pauses, as if caught off guard by your comment.
                Belle:	(I can't believe Dennis remembered that.)
                Belle:	I do... What about it?
                Me: 	Well, it got me thinking...
                Me: 	Where would you feel more relaxed than in front of a computer screen, playing one of the games you enjoy?
                Narr:	You glance at Eve, the woman giving you a nod of approval.
                Me: 	So, I was thinking, we could hold the session in my room and–
                Narr:	In a matter of a single second, Eve's look of approval changes to that of disapproval.
                Narr:	In stark contrast, Belle positively perks up at the thought, even licks her lips.
                Eve:	Now hang on a minute, Dennis.
                Narr:	The seriousness of Eve's tone causes you to flinch.
                Eve:	Having a session in your room is hardly appropriate...
                Me: 	(Oh, Eve, if you only knew what has been going on around this camp...)
                Me: 	(Us being alone in my room can't even count as the tip of the iceberg.)
                Eve:	You would be unsupervised, and Belle would be placed in a...tempting situation.
                Eve:	Considering her condition.
                Me: 	Eve, I promise I wouldn't even suggest this if I didn't think it would be the best for Belle's treatment.
                Me: 	Think about it. If you're a gamer, you don't play video games outside.
                Me: 	You play them glued to the chair in your room until your eyes feel sore from looking at the bright screen.
                Me: 	If that's something Belle enjoys, and we all know it is, being in such an environment would help her open up.
                Narr:	Eve remains silent, stern eyes shifting from you to Belle. She is skeptical about the idea.
                Narr:	Eventually, she lets out a sigh.
                Eve:	Fine.
                Narr:	Upon approval, Belle giggles.
                Eve:	But only if Belle promises to be on her best behavior and the door remains open at all times.
                Me: 	Don't worry, I'll make sure it does.
                    Eve:	And of course, Dennis, I expect the same from you.
                    Eve:	I don't think either of us want a repeat of an... earlier incident.
                    Narr:	The reminder of your embarrassment makes you move your gaze away from Eve.
                    Me: 	I understand. Don't worry, it won't happen again.
                    Eve:	It better not.
                    Eve:	(I want you to preserve your energy for other pursuits.)
                Eve:	Alright, that settles it.
                Eve:	I promised you more experience in this field, Dennis, so I will trust your judgment.
                Narr:	Belle practically jumps to her feet as she gets ready to depart, but it's cut off by Eve's stern voice.
                Eve:	And Belle, I'll repeat myself if I wasn't clear enough - you are to be on your best behavior.
                Narr:	A mischievous smile appears on Belle's features, but she gives Eve a salute.
                Belle:	Roger that!
                Eve:	Alright then, you have my blessing.
                Narr:	You give Eve a nod and steadily begin to walk back into the house.
                Narr:	Belle practically skips behind you, clearly pleased by the conclusion.
                Me: 	(I feel really good about that session with Stacy, but if only I could help her more...)
                Narr:	As you walk back to the patio, you see Belle and Eve still sitting on the couch.
                Me: 	(Heh, I bet Belle annoyed Eve again.)
                Me: 	(She is insatiable, that's for sure.)
                Narr:	You give both of them a nod as you sit back down, stretching your arms.
                Eve:	How did it go?
                Me: 	I'll tell you all about it once I compile my notes.
                Eve:	I see. Good work, Dennis.
                Eve:	(I knew that this would be a good idea.)
                Me: 	(I suppose I should just rip the bandaid right off.)
                Me: 	Alright, Belle, it's your turn.
                Belle:	Ooh, is it now?! Lucky me~
                Narr:	Belle presses her pinky finger against her lips, looking at you like a fox sizing up its prey. She crosses her legs sensually.
                Me: 	(This session might be harder than I initially thought.)
                Narr:	No pun intended...
                Me: 	Now, as for the location of the session, it will be–
                Narr:	Belle is quick to interrupt you, never one to mince words.
                voice:	voice/e9SessionBelle_81ec0470.mp3
                Belle:	You can have me wherever you want.
                Narr:	Eve visibly rolls her eyes at that comment while you squirm uncomfortably in your seat.
                Me: 	(Damn that Belle, she always knows how to get me going.)
                Me: 	(Almost as if she makes money out of it.)
                Me: 	I think the best possible approach is to have the session somewhere where you feel comfortable, at home even.
                Narr:	Eve observes you intently, like a mentor eagerly waiting to see how her mentee was going to handle this situation.
                Me: 	Belle, you mentioned you enjoy gaming?
                voice:	voice/e9SessionBelle_b18c1cda.mp3
                Belle:	Duh, I thought you were already familiar with my vocation.
                Me: 	Yes, but I remember you mentioning that you have a speedrunning channel.
                voice:	voice/e9SessionBelle_a9ca9f9a.mp3
                Belle:	Oh...
                Narr:	Belle pauses, as if caught off guard by your comment.
                voice:	voice/e9SessionBelle_1825824f.mp3
                Belle:	(I can't believe Dennis remembered that.)
                voice:	voice/e9SessionBelle_dde9bb15.mp3
                Belle:	I do... What about it?
                Me: 	Where would you feel more relaxed than in front of a computer screen, playing one of the games you enjoy?
                Narr:	You glance at Eve, the woman giving you a nod of approval.
                Me: 	So I was thinking, we could hold the session in my room and–
                Narr:	In a matter of a single second, Eve's look of approval changes to that of disapproval.
                Narr:	In stark contrast, Belle positively perks up at the thought, even licks her lips.
                Eve:	Now hang on a minute, Dennis.
                Narr:	The seriousness of Eve's tone causes you to flinch.
                Eve:	Having a session in your room is hardly appropriate...
                Me: 	(Oh, Eve, if you only knew what has been going on around this camp...)
                Me: 	(Us being alone in my room can't even count as the tip of the iceberg.)
                Eve:	It's unsupervised and it potentially places Belle in a situation where she would be... tempted.
                Eve:	Considering her condition.
                Me: 	Eve, I promise I wouldn't even be suggesting this if I didn't think it was the best course of action for Belle's treatment.
                Me: 	Think about it. If you're a gamer, you don't play video games outside.
                Me: 	You play them glued to the chair in your room until your eyes feel sore from looking at the screen.
                Me: 	If that's something Belle enjoys, and we all know it is, being in such an environment would help her open up.
                Narr:	Eve remains silent, stern eyes shifting from you to Belle. She is skeptical about the idea.
                Narr:	Eventually, she lets out a sigh.
                Eve:	Fine.
                Narr:	Upon approval, Belle giggles.
                Eve:	But only if Belle promises to be on her best behavior and the door remains open at all times.
                Me: 	Don't worry, I'll make sure it does.
                    Eve:	And of course, Dennis, I expect the same from you.
                    Eve:	I don't think either of us wants a repeat of the...earlier incident.
                    Narr:	The reminder of your embarrassment makes you move your gaze away from Eve.
                    Me: 	I understand. Don't worry, it won't happen again.
                    Eve:	It better not.
                    Eve:	(I want you to conserve energy for other pursuits.)
                Eve:	Alright, that settles it.
                Eve:	I promised you more experience in this field, Dennis, so I will trust your judgment.
                Narr:	Belle practically jumps to her feet as she gets ready to depart, but it's cut off by Eve's stern voice.
                Eve:	And, Belle, I'll repeat myself if I wasn't clear enough—you are to be on your best behavior.
                Narr:	A mischievous smile appears on Belle's features, but she gives Eve a salute.
                voice:	voice/e9SessionBelle_0bce5856.mp3
                Belle:	Roger that!
                Eve:	Alright then, you have my blessing.
                Narr:	You give Eve a nod and steadily begin to walk back into the house.
                Narr:	Belle practically skips behind you, clearly pleased by the conclusion.
        Narr:	The two of you climb the stairs.
        Narr:	You feel Belle's eyes glued to your back; the hairs at the back of your neck rise.
        Narr:	Your defense mechanism kicking in at the feeling of being observed the way that you were.
        Narr:	The air is thick with tension, and, in a way, you can almost relish it, but you dare not turn around.
        Me: 	(Maybe Eve was right... I feel like I'm going to be pounced on.)
        Belle:	(I wonder how long he can keep ignoring me, teehee!)
        Narr:	You lead her to your room, but you can't help but to feel like Belle's a little bit too familiar with the place.
        Me: 	(I guess it makes sense. I know for a fact that she has been snooping around.)
        Narr:	She does not hesitate to sit on your bed, legs crossed seductively as she looks at you with anticipation.
        Me: 	(Stop looking at me like that, stop looking at me like that, stop looking at me like that.)
        Narr:	Words are not necessary to address the tension between the two of you.
        Narr:	You do not take your eyes off of the girl as you push the door wide open.
        Narr:	So much so, that anyone climbing the stairs would be able to see right in.
        Belle:	Ugh, you are no fun!
        Me: 	You know the rules and so do I.
        Me: 	This was the one condition that we had to meet if we wanted to do this.
        Belle:	I just don't get why I am being shamed!
        Me: 	Shamed?
        Belle:	Yes, you guys can't handle a woman comfortable with her sexuality.
        Narr:	You can't help bursting into laughter as she says that.
        Me: 	Hahaha, come on, Belle, don't make me laugh.
        Me: 	No one in this camp has a problem with your sexuality. I think some of us have made that... perfectly clear.
        Me: 	But, come on, you can't tell me that some of your behavior isn't deviant.
        Narr:	You see Belle's smile drop as you say that. It would seem you've spoken before thinking yet again.
        Me: 	Fuck, look... I didn't mean it like that.
        Me: 	I'm not judging you. I am here to help you.
        Narr:	As soon as she gets a reaction out of you, Belle bursts into laughter—just like you did only a moment earlier.
        Belle:	Just kidding! Come on, I'm not so easily triggered, handsome.
        Belle:	Besides, I know you don't mind my deviant behavior.
            Me: 	I think I've been pretty good at ignoring it.
            Belle:	You'll break sooner or later, I just know it.
            Me: 	If I didn't break till now, with all of your consistent teasing, what makes you think I'll break later?
            Belle:	They all do. I'm irresistible.
            Belle:	But, I will admit, you are a challenge.
            Belle:	Which makes you all that more enticing.
            Narr:	Belle licks her lips, sizing you up like you are the most delicious meal.
            Me: 	That doesn't mean it's ethical.
            Belle:	Since when are you so concerned with ethics?
            Me: 	Sometimes my weakness gets the better of me.
            Belle:	I wouldn't call something that's your greatest strength a weakness.
            Me: 	Maybe you're right. I'm just risking my career!
            Belle:	Well, how could you not? It's not every day that someone as hot as me offers herself so willingly to you.
            Belle:	Though, judging by your skill, I'm sure you've had plenty of hot girls.
        Me: 	Whatever the case, I guess we should get down to business.
        Belle:	Ooh!
        Me: 	Not like that, hang on.
        Narr:	With a few careful steps across your small room, you reach your desk and sit on the chair, opening your laptop.
        Me: 	What are some of the games you enjoy playing, Belle?
        Narr:	Belle ponders for a moment before answering, as if unsure if you are asking her a serious question.
        Narr:	You can see that, for a moment, her guard has come down.
        Belle:	Well... I really like Castlenite. Digcraft is also cool, but that's more for relaxing.
        Belle:	My most popular streams are those of League of Luminaries.
        Me: 	Then you are in luck.
        Narr:	With a deft click of your mouse, you open an already all too familiar game.
        Narr:	The opening music takes you back to the nights when you were losing way more sleep than you should have been.
        Narr:	You rise from your seat, moving to sit on the bed next to Belle.
        Narr:	Without a word, you motion with your hand for her to sit down on the chair.
        Me: 	You can play on my account.
        Belle:	What? And raise your ranking? I don't think so!
        Belle:	You may be handsome, but you are not that handsome.
        Narr:	You chuckle as Belle goes to sit in the same spot you were sitting in earlier, moving the chair closer to the laptop.
        Narr:	As Belle logs into her own account, you idly observe her from your bed.
        Narr:	She clicks on 'New Game', picks a champion and cracks her neck until a pleasant pop is heard.
        Me: 	(She really looks like she's in her element.)
        Me: 	(Maybe this wasn't the worst of my ideas.)
        Narr:	She leans back as she waits in the lobby for the match to start.
        Me: 	I take it you're pretty good at this?
        Belle:	I would hope so. I'm not Sapphire 1 for no reason.
        Me: 	What?!
        Narr:	You raise your voice in disbelief.
        Me: 	I'm barely Quartz 3. That's so impressive, Belle!
        Belle:	I know, right? I'm one of the few women that managed to achieve that ranking.
        Narr:	The game starts, but Belle doesn't stop talking.
        Belle:	I've been playing it since I was thirteen, so I had plenty of time to practice.
        Belle:	It's all about practice, and, of course, research.
        Me: 	Doesn't talking while playing deconcentrate you?
        Belle:	I'm a streamer, silly! Talking while playing is part of the job.
        Me: 	And the outfits too, huh?
        Belle:	Well, yeah.
        Belle:	Do you know how many female streamers there are on the internet?
        Me: 	A lot, I take it?
        Belle:	Yeah, and you know how many of them are actually good?
        Belle:	By that, I mean they don't use pre-recorded game footage or bots to secure their wins.
        Narr:	You hear the sounds of fighting going on in the game, lasers pewing and minions dying.
        Narr:	Before you can answer, Belle speaks again.
        Belle:	You see, if you're a girl in the streaming community, your looks are far more important than your actual skill.
        Me: 	That must be hard.
        Belle:	It is. If you are not a sex object, most people won't even be interested.
        Me: 	(Could this be the root of her issue?)
        Me: 	(Is Belle's condition the result of her forcing herself to appeal to the viewers for the sake of pursuing her passions?)
        Me: 	(Man, this runs deeper than I thought...)
        Narr:	In spite of the seriousness of the topic at hand, Belle's focus is entirely on the game.
        Narr:	And not masking her true thoughts with hypersexualization.
        Narr:	For the first time, it feels like you are talking to Belle. The real Belle.
        Me: 	I never had a clue what it's like to be a girl heavily invested in the gaming community.
        Me: 	I sometimes play a game or two to pass the time.
        Belle:	Yeah, but that's because you know what you want to do with your life, silly!
        Me: 	Something like that.
        Belle:	Well, the moment I got my first console, I knew that this was what I wanted to do for a living.
        Belle:	But you have to be very aware of your looks, there will always be girls that are sexier, with bigger boobs or asses.
        Belle:	That's why, to succeed as a streamer AND a girl, you must know how to make use of the assets you have.
        Belle:	That's why I'm the best! Because I'm not all talk.
        Narr:	This is the only moment where Belle turns her head away from the screen, smirking.
        Belle:	If I say I'm going to suck your cock, then I'm going to suck your cock.
        Me: 	(Now that's the Belle I know.)
        Belle:	She bursts into laughter, as if all of this is just a big joke, then returns her focus to the screen.
        Belle:	Aw, yeah! Flawless victory!
        Narr:	She exclaims so loudly that it jolts you a little bit.
        Narr:	However, you can’t help thinking how nice it is to see Belle so happy and in her element.
        Belle:	Your turn now, handsome.
        Me: 	Hey, who's the boss here? You or me?
        Belle:	That's so hot...
        Belle:	But, come on, play a game! I wanna see how you roll.
        Narr:	You decide to indulge her, switching places with her on your desk chair.
        Narr:	Belle remains by your side, arms folded as she looks over which champion you are about to pick.
        Belle:	Zeemo? You're picking Zeemo? Interesting.
        Me: 	What?!
        Belle:	Nothing, nothing... Just keep playing.
        Narr:	As you wait in the lobby for the match to start, you observe Belle from the corner of your eyes.
        Narr:	For the first time since she arrived, she's not looking at you like you're a piece of meat.
        Narr:	She's far more focused on the game you're playing.
        Narr:	The match starts and you ready yourself for the fight!
        Me: 	(I better not embarrass myself in front of Belle.)
        Me: 	(It's so unnerving to be watched by someone so good at the game.)
            Narr:	The gods of the game seem to be on your side today as you absolutely decimate your enemy.
            Me: 	Yes, yes, YES!
            Belle:	Hey, that wasn't half bad!
            Belle:	I noticed some critical errors though, but you're pretty good for a casual player.
            Belle:	You'd have no problem reaching my rank if you put in some effort.
            Me: 	Thanks, but I mainly use this to unwind.
            Belle:	You can unwind while playing League of Luminaries?
            Belle:	That game makes even the most steel-nerved of us lose our temper!
            Me: 	I know, I'm strange like that.
            Belle:	Well, I'll make sure to give you a reward for your victory.
            Me: 	What kind of reward?
            Belle:	I'll think of something.
            Narr:	Luck is not on your side today, as the enemy pushes through your forts and absolutely decimates you.
            Me: 	Man, it's whatever I guess...
            Belle:	Don't let them troll you! Type in the chat to your teammates that you would've won if they'd just stuck to their lanes.
            Belle:	This always gets my blood boiling, how hard can it be to stick to one lane?!
            Me: 	It's alright Belle, it's not that big of a deal!
            Belle:	If it means anything, you are a victor in my eyes!
            Narr:	Belle moves to plant a kiss on your cheek, an oddly innocent gesture compared to how she usually is.
        Narr:	Suddenly, Belle pulls the chair you are sitting on, rolling it away from the table.
        Narr:	Expertly, she positions herself on your lap, looking at you from a slightly elevated position.
        Narr:	Your cock stirs in your pants.
        Me: 	What are you doing?
        Belle:	Can't I show you what a nice time I have been having?
        Belle:	I haven't had this much fun since I arrived at this camp.
        Belle:	Want me to show you just how grateful I am?
            Belle:	Want me to show you just how grateful I am?
                Me: 	But, the doors are open, Belle.
                Belle:	Doesn't that make it even more exciting?
                Narr:	You can't help arguing that logic as Belle unzips your pants, taking your eager dick out of them.
                Belle:	I've been waiting too long to see it.
                Belle:	That's all I could think about.
                Narr:	Your erection pulsates in Belle's hand as she glides her hands up and down its length, massaging it with great expertise.
                Me: 	Mm, Belle...
                Me: 	You're too good at this.
                Belle:	I can tell, big boy.
                Belle:	I can tell he's happy to see me, too.
                Narr:	Belle looks at your cock hungrily before she wraps her pretty mouth around it.
                Me: 	Yeah, suck my dick.
                Me: 	(Fuck, I should be quieter.)
                Belle:	*suck* *suck*
                Belle:	*lick*
                Narr:	Belle deepthroats your entire length.
                Belle:	Mnnf.
                Narr:	Your hands tangle themselves into Belle's pink locks as you begin to push her head down and onto your shaft.
                Narr:	All for the sake of quieting her pleased moans.
                Narr:	The pace is relentless, but nothing that Belle can't handle.
                Me: 	Shhh.
                Narr:	You remind both Belle and yourself. As good as this is, being caught in this act would be bad.
                Narr:	No, it would be worse than bad.
                Narr:	It would be absolutely catastrophic and something that can't be so easily explained.
                Narr:	Though, knowing how skilled you are with your words, maybe you could think of an explanation.
                Narr:	Maybe you could get away with it.
                Belle:	Mmmm.
                Belle:	You taste so good.
                Belle:	I wanna feel your cock inside me.
                Me: 	Shh, Belle.
                Belle:	Sorry.
                Narr:	Belle starts teasing your cock with her cheeks, you feel her wetness against your tip.
                Me: 	(Fuck, this feels too good.)
                Narr:	Unable to contain yourself any longer, you grasp Belle by her hips and plunge her onto your member.
                Narr:	For the sake of not making any noise, Belle bites her lip, but a muffled moan still escapes her.
                Me: 	*Whispers* God, you're so wet.
                Belle:	All for you.
                Narr:	You lift and pull Belle onto you with haste, not wishing to prolong this whole thing; as good as it is.
                Narr:	Priority is still not getting caught.
                Belle:	(I love that he's so rough with me!)
                    Belle:	(I love that he's so rough with me!)
                        Narr:	You are unable to hold it in any longer, the pace and rhythm doing their job.
                        Narr:	Plus, the circumstances of this situation only make it all better.
                        Belle:	*Whisper* Fuck, Dennis, don't stop - I'm so close.
                        Narr:	Belle makes the faintest of sounds, the most she could do to contain the wave of an orgasm that shook through her.
                        Narr:	And you feel that wave crashing around your cock.
                        Me: 	Hnnng.
                        Narr:	You follow soon after, shooting a load up Belle's pussy, the remainder of it flowing down your cock.
                        Belle:	Mmm.. That's exactly what I needed.
                        Narr:	You are unable to hold it in any longer, the pace and rhythm doing their job.
                        Narr:	Plus, the circumstances of this situation only make it all better.
                        Me: 	*Whisper* I can't keep it in much longer, Belle.
                        Belle:	Cum on me, big boy.
                        Narr:	You slide your cock out of Belle's pussy and spray a load of thick, hot cum all over her plump ass.
                        Narr:	You take a moment to compose yourself after your orgasm.
                        Me: 	That was amazing, Belle.
                        Belle:	I know, right?!
                        Me: 	Shh.
                        Belle:	Oh. Right. *whispers* Sorry.
                Narr:	Belle gets off of your lap and quickly puts her skirt back on, not even bothering to clean herself.
                Belle:	Thanks for giving me something to think about for the rest of the day.
                Belle:	Hopefully this is not the last time we do something like this.
                Me: 	Do you mean playing League of Lumineers or sex?
                Narr:	Belle only giggles in response as she skips out of the room.
                Narr:	You take a moment to stay in her room, cleaning yourself off and pulling your pants back up.
                Me: 	(Fuck, what time is it?)
                Narr:	(I hope I didn't leave the others with too much work when it comes to lunch.)
                Me: 	(Hopefully they don't get mad that I just showed up to eat.)
                Narr:	Needing to satisfy another one of your carnal needs, you get up to leave your room and head for the gazebo.
                Me: 	The doors are wide open, Belle.
                Belle:	Isn't that what makes it exciting?
                Narr:	You place your hands on Belle's waist, gently moving her off of you, cock twitching in protest.
                Me: 	This isn't right Belle, I could lose my job.
                Me: 	Besides, I feel like we really made some progress today. Why ruin that?
                Narr:	Belle pouts, clearly displeased by your rejection.
                Belle:	(I can't believe he rejected me!)
                Belle:	Fine, fine! Don't want to make sexy Eve mad.
                Me: 	Trust me, you don't want to see that.
                Belle:	But I really did have fun today, Dennis.
                Belle:	Thanks.
                Me: 	You're welcome. Maybe we could play a match or two online sometimes?
                Belle:	I don't see why not!
                Me: 	And, for the record, I don't want to play with you because you're smoking hot...
                Belle:	Yeah, right!
                Me: 	No, I'm serious, you're really good.
                Me: 	Maybe you can carry me for a match or two.
                Belle:	Heh, we'll see!
                Narr:	Despite the rejection, you can see Belle's mood has lifted significantly. She even managed to take the rejection well.
                Narr:	Finally, it feels like some progress is being made with Red Falls' most stubborn patient.
                Me: 	We should head back.
                Me: 	I think we're having lunch at the gazebo, so you should go and see if they need help with setting it all up...
                Belle:	Gotcha.
                Belle:	See you later, handsome!
                Narr:	Belle begins to strut out of your room, hips swaying as if she knew you would be looking.
                Me: 	(Damn, that Belle...)
                Me: 	(Oh right, there's still Stacy's session...but am I too tired for that?)
                Me: 	(Maybe it would be easier to just head to the kitchen and see if they need help with lunch?)
                    Me: 	(Maybe heading to the kitchen and see if they need help with lunch is easier?)
                        Narr:	It doesn't take long before you leave right after Belle...
                        Narr:	It doesn't take long before you leave right after Belle...
            Me: 	(I know whose brain I want to pick a little.)
            Me: 	I'll go with Stacy first, if that's okay?
            Eve:	Of course.
            Stacy:	Okay.
            Me: 	Belle and I just finished up.
            Eve:	How did it go?
            Me: 	Surprisingly well. I think we made actual progress.
            Narr:	Eve looks pleasantly surprised.
            Eve:	Very well, you'll tell me all about it after your session with Stacy.
            Me: 	Of course. You ready to go, Stacy?
            Stacy:	Yeah.
        Me: 	Wait for me!
        Stacy:	Can we have the session at our old campfire spot?
        Me: 	Sure, wherever you feel comfortable.
        Narr:	Stacy walks in front of you in silence, leading the way.
        Me: 	(I guess we're saving the talking for the session...)
        Narr:	You follow her in tow.
        Me: 	So... Khm. (How do I start this?)
        Me: 	How are you feeling today, Stacy? (That's how the pros do it.)
        Stacy:	Well, if I had to put it into words...
        Stacy:	I think I'd say... empty. Disconnected?
        Me: 	Why do you think you feel this way?
        Stacy:	Dennis, remember how I said my thoughts aren't cooked all the way yet?
        Me: 	Vaguely.
        Me: 	You think you're ready to talk about it? About why you shut down a few days ago?
        Stacy:	I think they are just baked enough.
        Me: 	So? Spill it.
        Stacy:	Dennis, I feel homesick.
        Me: 	Homesick? You never even mentioned home before...
        Stacy:	What do you mean? I talk about my flock all the time.
        Me: 	Oh, your flock, of course. (Why did I think it was anything else?)
        Stacy:	Yes, no matter how much I have grown close to everyone here, especially you...
        Stacy:	I feel like a lone timber thrown out of a pyre. Slowly losing my light.
        Stacy:	I miss them so much, I can't wait to reunite with them after camp.
        Me: 	So you are definitely going back to the Puncturing Flame? After this?
        Stacy:	Of course, where else would I go, silly?
        Narr:	There is a moment of silence between you, giving you some room to think.
        Me: 	Yeah, for sure. I actually wanted to ask you about something else.
        Narr:	Stacy looks at you, expectantly.
        Me: 	About those weird dreams you were having?
        Stacy:	I'm still having them.
        Me: 	Oh, I'm sorry to hear that. Can you remember what the dreams were about?
        Me: 	(I have a sneaking suspicion about what the dreams were about. I really hope I'm wrong.)
        Stacy:	I mean, I can, but it's really abstract.
        Me: 	Hm, try me.
        Stacy:	Alright. It was about the night sky, turning red. About smoke rising from the trees.
        Stacy:	And the eclipse, there is always that damn eclipse.
        Me: 	(Damn it, why can't I be wrong for once?)
        Me: 	Stacy, I don't wanna freak you out, but my dreams have been exactly the same.
        Stacy:	Exactly the same? You can't know that.
        Me: 	Same description then, I saw the exact same things plus a few extra.
        Me: 	Was there, perhaps, a glowing red waterfall in your dreams?
        Stacy:	...
        Stacy:	Yes, yes there was.
        Stacy:	Okay, we may be having the same dreams.
        Me: 	I really had to tell you, those dreams felt so weird. Plus you were in them.
        Stacy:	I was in your dreams? I didn't see anyone in mine.
        Me: 	Really? Because I have been chasing you around that nightmarish landscape for a few nights now.
        Me: 	I always see you walking about, but you never seem to notice me. Plus, the last dream I had scared the living shit out of me.
        Stacy:	What was it?
        Me: 	It was you. I see you standing right in front of that waterfall, eyes glowing red. I still have that image burned into my retinas.
        Stacy:	Oh, Dennis, that is so weird. Now I'm even more scared!
        Me: 	No, no, shit, I didn't mean to scare you, I'm sorry.
        Me: 	Come on, there should be a perfectly logical explanation as to why we're both having these dreams.
        Stacy:	Do you have any?
        Me: 	...
        Me: 	Well, not out of pocket, no, but there must be one.
        Stacy:	Maybe we're both just going bananas.
        Me: 	Ha, maybe.
        Me: 	Good thing we're already at a mental health facility.
        Stacy:	Pff, I don't think security here can handle both of us going nuts.
        Me: 	You never know. Maybe Eve has a padded room and a couple of straitjackets somewhere in that house.
        Stacy:	... Does she?
        Me: 	Though, I bet she has some kind of restraints.
        Me: 	(Okay, this isn't going anywhere, I think I have another idea.)
            Me: 	(Okay, this isn't going anywhere, I think I have another idea.)
                Me: 	Hey, Stacy, this might seem a little out of the blue...
                Me: 	But, why haven't you mentioned your actual family yet?
                Stacy:	You mean my biological kin?
                Me: 	Yes, what's the deal with them?
                Stacy:	I honestly wouldn't know. I haven't been in contact with them ever since I joined my flock.
                Me: 	Not at all? Not even a phone call for holidays?
                Stacy:	No, but I did send them a rather long letter explaining my new purpose in life after I made the rank of Ascendant...
                Stacy:	I invited them to join me, but I am not surprised none of them answered.
                Me: 	(I mean, I wouldn't either, but...)
                Me: 	Why weren't you surprised?
                Stacy:	Ha! 'Cause they never cared about anything I had to say. It was too loud in the house to hear me, anyways.
                Me: 	And no one was listening?
                Stacy:	Oh, there were plenty of ears listening, but I don't think anyone was really hearing me.
                Stacy:	I felt invisible, unless I was in trouble, of course.
                Stacy:	Then daddy made sure everyone knew exactly what it was that I did wrong and what my punishment was going to be.
                Stacy:	They are old school like that. Tons of kids, church first, husband second and everyone else better fall in line.
                Me: 	That doesn't sound like a happy childhood...
                Stacy:	The funny thing is, it was. I have so many happy memories with my siblings and mom.
                Stacy:	But, I always dreamed about going off, starting my own life, choosing my own path.
                Me: 	And your flock gave you that chance?
                Stacy:	Yes, I have never felt such overwhelming sense of belonging and home.
                Me: 	I think I understand. No wonder you give so much of yourself to that group.
                Stacy:	Wouldn't you do the same for your family? Especially if it took you your whole life to find them?
                Me: 	I think I would, yes. Your dedication is admirable, but I think it might be causing your health to suffer.
                Stacy:	What do you mean? I'm perfectly healthy.
                Me: 	Stacy, you spent the last couple days aimlessly wandering around camp.
                Me: 	Not to mention a tendency to go into states where you don't even seem to know where you are.
                Stacy:	That is pretty standard for someone going through the process of enlightenment.
                Stacy:	My mentors warned me I might experience signs of madness, like hallucinations and sleepwalking.
                Stacy:	It's the side effects of my mind expanding.
                Me: 	And those are also side effects of someone going through chronic sleep deprivation, or recovering from it.
                Me: 	Did you know that?
                Stacy:	Well, no, I didn't. But I think it's the enlightenment. How could this be from me just being tired?
                Me: 	Not tired, sleep deprived. There is a big difference. Your brain needs sleep, otherwise we go a little off the rails.
                Stacy:	Now that you mention it, here at camp, this is the longest I have slept... Well, ever since I joined 3 years ago.
                Me: 	They didn't let you sleep?
                Stacy:	Of course they did. I just always had better things to do. Sleep was never a high priority.
                Me: 	Hey, Stacy, I wanted to ask you about something...
                Stacy:	Do tell.
                Me: 	Well, I would hope you remember, but we were here together yesterday...
                Stacy:	I was sort of hoping you wouldn't bring that up.
                Stacy:	But I guess you must be worried sick about what was going on with me.
                Me: 	To put it mildly, yes.
                Me: 	You acted one way and then it was like you snapped out of a dream...
                Stacy:	That's exactly what happened, good job on that one. You're really observant, you know?
                Me: 	Sorry, what?!
                Me: 	Can you run that by me again? I was using a metaphor, what do you mean 'That's exactly what happened'?
                Stacy:	Exactly what I said. I was dreaming, and then I snapped out of it.
                Me: 	You don't mean literally, right?
                Me: 	Right?!
                Stacy:	Yes, whatever else could I mean?
                Stacy:	It's a little embarrassing, but you brought it up.
                Me: 	Stacy, that's not embarrassing, it's confusing and a little worrying.
                Stacy:	No, don't worry, this happens to me sometimes.
                Stacy:	I've always been a sleepwalker. More so when I was a kid, but I guess it came back lately.
                Me: 	Really? I mean, it's normal for kids, but it is a little atypical for adults.
                Stacy:	It's usually only when I'm really stressed, but I don't know why it's happening now.
                Me: 	Also, it was in the middle of the day, how were you asleep?
                Stacy:	Well, I wanted to take a nap in my cabin, I've been feeling so tired all the time lately.
                Stacy:	And I must admit, I was having a rather steamy dream about you.
                    Stacy:	But, it caught me a little off guard to realize we were actually doing it.
                    Me: 	Stacy, I am so sorry. If I had any idea you were asleep, I would have never, you know that?
