Me: 	*Mumbles* Whazza... Huh? Where am I?
Belle:	She told me I was pretty...
Belle:	So I continued my advances.
Me: 	And what? You had sex?
Violet:	Shhh! She was just getting to the good part...
Stacy:	Continue.
Narr:	Everyone feels a hot tingling sensation, listening to Belle's story...
Narr:	And the further the story goes, the more focused everyone is.
Belle:	I began caressing her shoulder, and continued flirting with her.
Belle:	At first she was chuckling, like I was making it all up...
Belle:	Said she wasn't interested.
Belle:	But I was tenacious. I wanted her, so badly.
Belle:	So, there was only one thing I could do at this point...
Belle:	I kissed her on the lips.
Violet:	Were they soft? (Wait, why did I ask that? Everyone's going to think I'm weird now, for sure!)
Belle:	Oooh, you have no idea.
Belle:	At first, she looked shocked...
Belle:	But after a moment, she kissed me back.
Stacy:	Was there a fire near you?
Belle:	What? Fire? Why wou--
Belle:	*Sigh* Never mind.
Belle:	No, there was no fire.
Belle:	Anyway, one thing led to the next, and soon...
Belle:	I was sticking my tongue in her mouth, and grabbing her tits.
Belle:	She had these massive boobs you just wanted to drown yourself in.
Belle:	So bubbly and soft...
Naomi:	Yeah, yeah, perfect tits. Now get to the good part.
Belle:	She had this lovely dress, tight-fit.
Belle:	It made her curves look extra sensual...
Me: 	And?
Belle:	[m!ct]? Is that you showing interest?
Me: 	It's the vodka.
Belle:	*Chuckle* If you say so.
Belle:	So, the next thing...
Belle:	I slipped my hand under her skirt...
Belle:	And she let out the most erotic moan I've ever heard.
Stacy:	Would've been even better if there was a fire next to you, just saying...
Violet:	Stacy, shh!
Violet:	What happened next?
Me: 	(Wow, Violet's really into it, too.)
Belle:	I continued twisting my tongue around inside her mouth, while gently playing with her down there...
Belle:	Wanted to kiss and taste every inch of her body.
Belle:	She looked as if she felt the same.
Belle:	I was thinking how I wanted to lick her pussy clean and stick a dildo into all of her orifices.
Violet:	AND THEN?
Belle:	*Sigh* Unfortunately, it was cut short.
Violet:	Damn!
Naomi:	As expected. (Although, I'd be lying if I said it wasn't at least a little fun to listen to...)
Stacy:	Told ya'. If you had a flickering flame near you, good fortune would have followed.
Belle:	I know, right? Super anticlimactic.
Belle:	She had to be somewhere and couldn't risk getting caught.
Naomi:	Shame, she sounds lovely.
Belle:	She is... I'm in love.
Belle:	But, don't worry. I'll get into her pants eventually...
Me: 	Why am I not surprised?
Stacy:	Just light a fire next time before you start seducing her, trust me.
Violet:	If Belle's open-minded enough to try it with an older woman, she should.
Naomi:	I can't believe I'm saying this... but I'm actually a little jealous.
Me: 	I think we all are. *Chuckle*
Stacy:	Any other stories? Preferably involving fire, this time.
Me: 	Why don't you tell us a "fiery" story then, Stacy?
Stacy:	Sure, I have a few.
Stacy:	What kind of tale would you like to hear?
Violet:	Do you have any stories, or legends about your religion? I've never heard anything about it.
Stacy:	Of course! Hundreds!
Naomi:	"Hundreds"? Seriously?
Stacy:	Well, yeah. It's good practice...
Stacy:	It's also the best way to get the youth interested.
Stacy:	I guess since you're all Seed-level, I'll start with our creation story...
Naomi:	"Seed-Level"?
Me: 	I think she's calling us uninformed idiots.
Naomi:	Huh, annoying...
Stacy:	Don't worry, the moment you hear our creation story, you'll be leagues ahead of the rest of the world.
Belle:	Enough intro! I wanna hear what it's all about already.
Narr:	Stacy stands up and takes a deep breath...
Stacy:	In the beginning, there was only the void. Dark, and cold.
Stacy:	Endless, indifferent space...
Stacy:	Apeiron!
Stacy:	But this wouldn't last, at least not forever.
Stacy:	The void, Apeiron, at one point, became conscious...
Stacy:	And this consciousness was like a baby, a different entity.
Me: 	Heavenly-Phoenix Lotus?
Stacy:	You're rushing the story, [m!ct]...
Stacy:	Just 'cause you know parts of it, doesn't mean you should spoil it for the rest.
Narr:	Everyone slightly chuckles at her remark.
Me: 	Sorry...
Stacy:	Anyway, on the first "day," if you can even call it a day...
Stacy:	This new entity realized it was bored.
Stacy:	Just imagine an existence, submerged in eternal darkness.
Violet:	That sounds horrible...
Stacy:	It WAS horrible.
Stacy:	This entity was sick of being cold...
Stacy:	So it imagined what it would be like to not be cold.
Stacy:	It imagined the opposite of darkness...
Stacy:	Light!
Stacy:	Redness, flickering and movement!
Stacy:	It created its first spark...
Stacy:	A spark that would eventually grow and spread, lighting up the universe we live in.
Violet:	Awww, that sounds so poetic.
Stacy:	It is...
Stacy:	Without heat, without light, without movement... nothing can exist.
Stacy:	So, the entity grew, and built its first world...
Stacy:	Dimension, if you will, for the science freaks among you.
Me: 	Thanks...
Stacy:	This was its home.
Stacy:	The first of the worlds!
Belle:	What's it like there?
Stacy:	It's divine. Always warm, always light...
Stacy:	Cinders fly like birds...
Stacy:	Flowers smell like flames.
Naomi:	Sounds like Hell, if you ask me.
Stacy:	It's a place we followers strive to get to.
Me: 	So, like, your version of Heaven?
Stacy:	Yeah, I guess it's something like that.
Belle:	What happened next?
Stacy:	Well, trouble, as you can imagine.
Stacy:	Darkness might not be conscious, but it still holds power over everything.
Stacy:	And it "wants" only one thing...
Stacy:	To consume and snuff out everything else.
Stacy:	So, in order to fight for its existence, our flaming entity continued to grow and create worlds.
Stacy:	Every sun, every fire, every heartbeat is an extension of our Lord.
Stacy:	But fighting the void is almost certainly a lost cause.
Stacy:	You can't stop it, you can't run away from it...
Stacy:	And, at one point, our Lord was extinguished by the darkness.
Naomi:	So we're all destined to perish, and descend into cold nothingness? Even if you're a godlike being?
Stacy:	Yes...
Violet:	I don't like the sound of that.
Stacy:	But, don't you see? The entity revived.
Stacy:	It couldn't be snuffed out, because of one sole reason...
Stacy:	It swore to itself, and to all creation...
Stacy:	That it would protect us from the darkness.
Stacy:	Eternity wouldn't stop it.
Stacy:	And then, after three eons, as it rose from its ashes, it adorned itself in the colors of flames, and took up a name...
Stacy:	"The Heavenly-Phoenix Lotus"!
Stacy:	Pure will, incarnate, the unfettered desire to live!
Stacy:	And, that's why, if you look deeply into yourself...
Stacy:	You'll find the same will and desire burning within each of us.
Naomi:	Since we're its extension?
Stacy:	Exactly.
Belle:	Woooow...
Violet:	*Sniff* It's so bittersweet.
Me: 	And what now? Today? In this era.
Stacy:	It's the same as always...
Stacy:	Live with a burning will, or perish into cold nothingness...
Me: 	Huh, tough times...
Me: 	Aaanyway...
Me: 	Naomi? Everyone else told a story... You got any of your own?
Naomi:	Don't people usually tell horror stories around campfires?
Me: 	I guess so.
Naomi:	So, how about a horror story, but one that actually happened?
Stacy:	Yes, please!
Violet:	I'm already getting the shivers.
Belle:	Try us.
Naomi:	You have a phone, right?
Me: 	Yeah. What for?
Naomi:	Give it here.
Me: 	*Scoff* No way, you'll snoop around my private life.
Naomi:	Oh, please. Like I care about your girlfriend.
Naomi:	Just give me the damn phone. You'll get it back, I promise.
Me: 	I know I'll regret this...
Narr:	You lend Naomi your phone.
Narr:	Taking it, she turns on the flash and points it up toward her chin...
Narr:	Making her face look sort of scary and warped.
Naomi:	This is an old story my grandma used to tell me.
Naomi:	In Wisconsin, when she was young, they lived on a farm...
Naomi:	Every day was full of work, but the days were rather tranquil.
Naomi:	No murders, no robberies, no nothing.
Naomi:	The only troublesome character that lived in their area was a hunter by the name of Hector.
Naomi:	Hector was what you'd call "an asshole."
Naomi:	He generally kept to himself, but sometimes he'd get in fights with other people.
Naomi:	And, always for the same reason...
Stacy:	Why did they fight?
Naomi:	Because of the drastic decline in the wildlife population ever since he arrived.
Me: 	So, he killed for sport?
Naomi:	Correct!
Naomi:	You see, Hector was a pretty good hunter, but a pretty horrible human being.
Naomi:	He had... tendencies.
Me: 	Yeah? What kind?
Naomi:	My grandma told me...
Naomi:	Sometimes, every few weeks or so, they'd hear the cries of beasts.
Naomi:	Not cries like when animals want to fuck, or compete to see who'll fuck...
Naomi:	But unnatural, ear-piercing screams of agony that would keep you up all night.
Naomi:	Like damned spirits, bound in perpetual torture...
Stacy:	Hey! I already used that kind of metaphor!
Naomi:	You don't own the English language, Stacy...
Violet:	That's horrible.
Belle:	Well, it IS a horror story.
Naomi:	The next morning, all was quiet.
Naomi:	The hunter returned with his handful of meat.
Naomi:	Pieces of deer, always cut to size, and always a small amount.
Naomi:	Only, she said his meat tasted funny... 
Naomi:	No pun intended.
Naomi:	Then, one day, as she was playing around the forest with her friends...
Naomi:	They got a whiff of an inexplicable and unbearable stench.
Stacy:	Was it poo?
Naomi:	No, it was not poo! It was WORSE!
Violet:	*Gasp*
Stacy:	What smells worse than poo?
Naomi:	How about a wretched mass of bloody, rotting, and unrecognizable corpses?
Violet:	Eww, I'm definitely going to puke.
Naomi:	She said she saw hooves, antlers and rib cages.
Naomi:	Crushed, and broken... All lumped together.
Naomi:	It was scarring... Trully the stuff of nightmares.
Naomi:	My grandma knew immediately...
Naomi:	She knew Hector was the one who did it. There was no doubt in her mind.
Violet:	Please tell me this has a happy ending?
Naomi:	Hah. I'll make sure to describe the gore in extra detail, just for you.
Violet:	*Sigh*
Naomi:	Anyway, she ran back home to tell her parents what she saw.
Naomi:	They believed her, but by the time she told them everything, it was already dark.
Naomi:	So, they decided to wait until morning.
Naomi:	But, suddenly...
Naomi:	*Inhuman screech*
Violet:	EEEEEEEK!
Naomi:	The screams, they could hear the screams again.
Naomi:	But... they were different, more shrill, more horrible than ever before.
Naomi:	Like hundreds of tortured voices screaming in agony.
Naomi:	Followed by loud thuds, like steps. Trees started to fall...
Naomi:	And then...
Naomi:	Another voice was heard, a human voice.
Naomi:	Which slowly morphed into this gurgling, howling scream, louder than ever before.
Naomi:	My grandma was shaking like a leaf. Her parents tried calming her throughout the night...
Naomi:	Once morning came, they walked down to the trail to the hunter's cottage.
Naomi:	My grandma led them to the pile of corpses, but when they got there...
Naomi:	There was nothing to be found.
Naomi:	Just a trail of fallen trees and blood.
Naomi:	You can guess where the trail led...
Me: 	Hector's cabin?
Naomi:	*Nod* At this point, grandma knew what happened even before they even got to his place.
Naomi:	And once they did, well...
Belle:	What!? What happened!? (Why am I so interested in this gory story?)
Naomi:	The first thing they noticed was Hector's cabin, crushed as if a tree fell on it.
Naomi:	But there was no tree trunk in sight.
Naomi:	The next thing that caught their attention... were the scattered remains, reduced to a bloody mess.
Stacy:	Oh, no...
Naomi:	Oh, yes!
Naomi:	They were Hector's remains, scattered and strewn across the vicinity.
Naomi:	His skull crushed in the dirt... his entrails hanging on nearby branches.
Naomi:	A bit of Hector here, a bit of Hector there...
Naomi:	There was nothing to be done.
Naomi:	He was gone, and so was his home.
Naomi:	So, they collected all the bits and pieces of Hector that they could find, and set them ablaze, along with his cottage.
Stacy:	FIRE ONE, HECTOR ZERO!
Naomi:	*Clears throat*
Naomi:	And now, today...
Naomi:	Almost fifty years later... My grandma's blood still runs cold when she talks about it.
Violet:	Horrible...
Belle:	But you haven't told us what happened with the pile of corpses.
Me: 	It was probably eaten by wildlife or something.
Naomi:	I told you, all the wildlife was nearly gone because of Hector.
Naomi:	Nothing could've eaten a "mound" of flesh without letting anything go to waste.
Naomi:	The worst part of this story is that they never found the corpses my grandma was looking for...
Naomi:	As soon as she was a bit older, she moved away from that place.
Naomi:	Told me it gave her the creeps.
Naomi:	Whatever it was that got Hector that night, it disappeared into the forest, never to be seen again.
Violet:	*Shiver*
Belle:	That... was actually super creepy.
Stacy:	Naomi is creepy...
Naomi:	I don't want to hear that from you!
Me: 	Not bad, but it's still just a story.
Naomi:	I told you, this happened.
Me: 	Can I have my phone back?
Naomi:	Everything I told you is exactly how my grandma used to tell me.
Me: 	Maybe she just wanted to scare you?
Naomi:	Maybe... But, I think, that shambling horror is still out there.
Naomi:	Punishing hunters that go too far...
Violet:	Guys, the fire is going out. Should we call it a night?
Naomi:	Fear of the dark?
Violet:	Don't be ridiculous...
Me: 	It's still pretty early, all we need is more wood.
Me: 	Any volunteers?
Narr:	After a moment of silence...
Me: 	Thought so.
Me: 	Then I'll go get some. Be right back.
Naomi:	Wait, [m!ct]! That's how all horror stories begin! The protagonists split up!
Me: 	If I'm not back within fifteen minutes, consider me murdered by some weird, shambling abomination.
Stacy:	Sounds fair.
Violet:	Shouldn't we go with him? It's pretty dark out.
Belle:	It's his backyard, he'll be fine.
Naomi:	Maybe Hector pops up to hunt and torture him.
Violet:	Oh, no...
Violet:	Be careful, [m!ct]!
Narr:	With that, you leave to get some more wood...
Me: 	("Be careful"... Did she really buy Naomi's story?)
Me: 	(It's just a story... What's got them shaking in their boots so much?)
Me: 	...
Me: 	*Chuckle* (I mean, if it's a massive lump of rotting flesh that's after me, I could probably outrun it.)
Me: 	Ah! (Some more wood!)
Me: 	(Fuck, it really is almost pitch black. I can barely see shit in front of me.)
Me: 	(What's making so much noise!?)
Me: 	Hello? Girls?
Me: 	...
Me: 	(Probably a squirrel or some shit.)
Me: 	*Chuckle* (I actually got scared there for a second.)
Me: 	(Naomi and her silly...)
Me: 	*Gasp* (WHAT THE FUCK WAS THAT!?)
Me: 	(I've never heard anything like it!)
Me: 	AAAH! FUUUUCK!!! (It's the monster!)
Me: 	(HECTOR'S ABOMINATION IS AFTER ME!)
Me: 	(Run, run, run! Just RUN!)
Me: 	(Holy shit, it's going to crush me!)
Me: 	(It's going to tear me apart!)
Me: 	(It's going to massacre me!)
Me: 	(Keep running, FASTER!)
Me: 	*Grunt* (Fucking branches, fucking darkness!)
Me: 	THERE! (The house! I can see the house!)
Me: 	(I can make it!)
Me: 	*Gasp* (It's right behind me!)
Me: 	(Just a bit furthe--)
Me: 	Ughhhhh...
Me: 	My head...
Me: 	(Where am I? It's so dark.)
Me: 	(Something's covering my eyes...)
Me: 	Huh? (I'm tied down!)
Me: 	(I was in the forest... Collecting wood, and...)
Me: 	(Something came after me.)
Me: 	(I ran, and... I don't remember!)
Me: 	(I thought that monster was gonna get me.)
Me: 	(But why am I tied down?)
Me: 	(Holy shit, was it Hector, the hunter?)
Me: 	AHHH! HECTOR!
Me: 	Stay away from me, you freak!
Me: 	If you hurt me, I'll hurt you! I SWEAR!
Me: 	I'm warning you!
Narr:	Suddenly, you feel a hand on your leg.
Narr:	Scared shitless, you barely notice that the touch is gentle and warm...
Narr:	Definitely not the touch of an evil hunter, or his monster.
Narr:	The hand caresses your leg.
Narr:	It travels further up...
Narr:	Until it grabs your crotch.
Narr:	And starts stroking you over your clothes.
Narr:	Until it unbuckles your pants...
Narr:	And takes them off, leaving your manhood exposed.
noname *Mmm...*
Me: 	(A woman?)
Me: 	(It must be one of the girls!)
Me: 	Ladies, you didn’t have to tie me up...
Narr:	A hand grabs your dick with determination.
Narr:	And starts stroking...
Me: 	(One of them is jerking me off!?)
Me: 	I know you're cock-hungry, but this is just obsessive overkill.
Me: 	I mean, I'm tied to a tree! There was no need for that.
Narr:	As the hand continues jerking you off, your dick becomes rock-hard quite quickly.
Me: 	*Pant* (Fuck... This feels pretty damn good.)
Me: 	Damn girl, you’re too good at this.
Narr:	You can feel the grip tighten as the hand pumps your cock even harder.
Me: 	*Groan* Fuck...
Me: 	Don't stop...
Narr:	Suddenly, you feel something else on your tip...
Me: 	(Is that... A tongue!?)
Me: 	Ahhh... (She's licking my cock!)
Me: 	(I can't believe this is happening... Am I dreaming?)
Me: 	What are you waiting for? Too scared to put it in your mouth?
Narr:	Taking up the challenge, a different sensation envelops your cock...
Narr:	The mouth sucks you off gingerly, as a tongue coils around you.
Narr:	A pleasurable electricity shoots up through your body...
Me: 	(Oh, man... Whoever this is knows how to suck dick!)
Me: 	*Groan* You're making my mind melt...
Me: 	*Pant* Fuck, don't stop.
Me: 	Just keep sucking my dick like that.
Narr:	Your comments increase the enthusiasm of whoever was sliding your cock into their mouth...
Narr:	It continues... Every repetition going deeper than the last.
Narr:	Pulling more of your length inside, each time...
Narr:	Faster, and faster...
Me: 	Fuck, I can barely hold it anymore.
Me: 	*Grunt* You're gonna make me cum!
Narr:	You swear you can almost feel a smile on the mouth that's currently sucking you off as you say this...
Narr:	And, the mouth doesn't let up...
Narr:	This person wants every single drop of your hot cum inside their throat.
Me: 	*Pant* I’m gonna cum in your mouth! Hnnngh...
Me: 	*Groan* Here it comes!
Narr:	Your dick contracts, shooting out its first stream of cum, right into the mouth enveloping it.
Narr:	A second... then a third and a fourth...
Narr:	As you continue emptying your balls, the mouth keeps sucking you off, swallowing each load with dedication.
Narr:	Their lips, tightly sealed around your cock...
Narr:	Their hand, gripping your shaft.
Me: 	Oh, my God! You're too good at this...
Me: 	*Pant* You deserve an encore.
Narr:	The lips that haven't said a word this entire time slide along your whole length...
Narr:	Reaching the tip and releasing it with a loud slurping sound.
Narr:	At this point, your mind is almost completely blank. Unable to move, unable to see anything...
Narr:	Finally, you hear footsteps and the rustling of leaves.
Narr:	The person walks behind you and loosens the knots that held you down...
Narr:	Leaving before you gather your bearings, still enthralled by the experience.
Narr:	You wiggle a little, freeing one of your arms.
Me: 	*Sigh* I can finally remove this blindfold.
Me: 	(What was that!?)
Me: 	(And who was that...)
